Algorithm,Width,Height,Threads,Seed,FillPercent,Run,TimeMs
Sequential,100,100,1,42,0.40,0,3.661000
Sequential,100,100,1,42,0.40,1,3.638000
Sequential,100,100,1,42,0.40,2,3.649000
Sequential,100,100,1,42,0.40,3,3.656000
Sequential,100,100,1,42,0.40,4,3.667000
Sequential,100,100,1,42,0.40,5,3.654000
Sequential,100,100,1,42,0.40,6,3.658000
Sequential,100,100,1,42,0.40,7,3.657000
Sequential,100,100,1,42,0.40,8,3.655000
Sequential,100,100,1,42,0.40,9,3.669000
Sequential,100,100,1,42,0.40,10,3.648000
Sequential,100,100,1,42,0.40,11,3.663000
Sequential,100,100,1,42,0.40,12,3.665000
Sequential,100,100,1,42,0.40,13,3.670000
Sequential,100,100,1,42,0.40,14,3.663000
Sequential,100,100,1,42,0.40,15,3.655000
Sequential,100,100,1,42,0.40,16,3.670000
Sequential,100,100,1,42,0.40,17,3.662000
Sequential,100,100,1,42,0.40,18,3.660000
Sequential,100,100,1,42,0.40,19,3.656000
Sequential,100,100,1,42,0.40,20,3.658000
Sequential,100,100,1,42,0.40,21,3.660000
Sequential,100,100,1,42,0.40,22,3.657000
Sequential,100,100,1,42,0.40,23,3.659000
Sequential,100,100,1,42,0.40,24,3.662000
Sequential,100,100,1,42,0.40,AVG,3.660773
Sequential,500,500,1,42,0.40,0,88.653000
Sequential,500,500,1,42,0.40,1,87.404000
Sequential,500,500,1,42,0.40,2,87.459000
Sequential,500,500,1,42,0.40,3,87.363000
Sequential,500,500,1,42,0.40,4,87.369000
Sequential,500,500,1,42,0.40,5,87.368000
Sequential,500,500,1,42,0.40,6,87.686000
Sequential,500,500,1,42,0.40,7,87.374000
Sequential,500,500,1,42,0.40,8,87.349000
Sequential,500,500,1,42,0.40,9,87.497000
Sequential,500,500,1,42,0.40,10,87.377000
Sequential,500,500,1,42,0.40,11,87.448000
Sequential,500,500,1,42,0.40,12,89.589000
Sequential,500,500,1,42,0.40,13,87.910000
Sequential,500,500,1,42,0.40,14,88.340000
Sequential,500,500,1,42,0.40,15,87.781000
Sequential,500,500,1,42,0.40,16,87.404000
Sequential,500,500,1,42,0.40,17,87.394000
Sequential,500,500,1,42,0.40,18,87.466000
Sequential,500,500,1,42,0.40,19,87.339000
Sequential,500,500,1,42,0.40,20,87.432000
Sequential,500,500,1,42,0.40,21,87.638000
Sequential,500,500,1,42,0.40,22,87.383000
Sequential,500,500,1,42,0.40,23,87.371000
Sequential,500,500,1,42,0.40,24,87.453000
Sequential,500,500,1,42,0.40,AVG,87.397235
Sequential,1000,1000,1,42,0.40,0,348.304000
Sequential,1000,1000,1,42,0.40,1,346.498000
Sequential,1000,1000,1,42,0.40,2,347.030000
Sequential,1000,1000,1,42,0.40,3,349.236000
Sequential,1000,1000,1,42,0.40,4,348.845000
Sequential,1000,1000,1,42,0.40,5,346.933000
Sequential,1000,1000,1,42,0.40,6,347.376000
Sequential,1000,1000,1,42,0.40,7,349.225000
Sequential,1000,1000,1,42,0.40,8,348.302000
Sequential,1000,1000,1,42,0.40,9,346.645000
Sequential,1000,1000,1,42,0.40,10,347.432000
Sequential,1000,1000,1,42,0.40,11,348.841000
Sequential,1000,1000,1,42,0.40,12,349.108000
Sequential,1000,1000,1,42,0.40,13,346.551000
Sequential,1000,1000,1,42,0.40,14,347.474000
Sequential,1000,1000,1,42,0.40,15,348.813000
Sequential,1000,1000,1,42,0.40,16,349.197000
Sequential,1000,1000,1,42,0.40,17,346.674000
Sequential,1000,1000,1,42,0.40,18,346.892000
Sequential,1000,1000,1,42,0.40,19,348.678000
Sequential,1000,1000,1,42,0.40,20,348.814000
Sequential,1000,1000,1,42,0.40,21,347.014000
Sequential,1000,1000,1,42,0.40,22,346.900000
Sequential,1000,1000,1,42,0.40,23,348.623000
Sequential,1000,1000,1,42,0.40,24,349.200000
Sequential,1000,1000,1,42,0.40,AVG,347.944200
Sequential,1500,1500,1,42,0.40,0,843.125000
Sequential,1500,1500,1,42,0.40,1,847.544000
Sequential,1500,1500,1,42,0.40,2,845.911000
Sequential,1500,1500,1,42,0.40,3,844.594000
Sequential,1500,1500,1,42,0.40,4,846.926000
Sequential,1500,1500,1,42,0.40,5,843.437000
Sequential,1500,1500,1,42,0.40,6,846.810000
Sequential,1500,1500,1,42,0.40,7,846.853000
Sequential,1500,1500,1,42,0.40,8,844.688000
Sequential,1500,1500,1,42,0.40,9,848.364000
Sequential,1500,1500,1,42,0.40,10,843.348000
Sequential,1500,1500,1,42,0.40,11,847.185000
Sequential,1500,1500,1,42,0.40,12,845.783000
Sequential,1500,1500,1,42,0.40,13,850.821000
Sequential,1500,1500,1,42,0.40,14,866.245000
Sequential,1500,1500,1,42,0.40,15,851.526000
Sequential,1500,1500,1,42,0.40,16,849.230000
Sequential,1500,1500,1,42,0.40,17,853.402000
Sequential,1500,1500,1,42,0.40,18,850.327000
Sequential,1500,1500,1,42,0.40,19,847.955000
Sequential,1500,1500,1,42,0.40,20,844.507000
Sequential,1500,1500,1,42,0.40,21,846.316000
Sequential,1500,1500,1,42,0.40,22,847.008000
Sequential,1500,1500,1,42,0.40,23,843.276000
Sequential,1500,1500,1,42,0.40,24,846.699000
Sequential,1500,1500,1,42,0.40,AVG,845.977950
Sequential,1750,1750,1,42,0.40,0,1171.472000
Sequential,1750,1750,1,42,0.40,1,1164.888000
Sequential,1750,1750,1,42,0.40,2,1160.574000
Sequential,1750,1750,1,42,0.40,3,1160.643000
Sequential,1750,1750,1,42,0.40,4,1162.991000
Sequential,1750,1750,1,42,0.40,5,1161.799000
Sequential,1750,1750,1,42,0.40,6,1162.158000
Sequential,1750,1750,1,42,0.40,7,1160.955000
Sequential,1750,1750,1,42,0.40,8,1160.396000
Sequential,1750,1750,1,42,0.40,9,1159.247000
Sequential,1750,1750,1,42,0.40,10,1161.174000
Sequential,1750,1750,1,42,0.40,11,1161.104000
Sequential,1750,1750,1,42,0.40,12,1162.969000
Sequential,1750,1750,1,42,0.40,13,1160.875000
Sequential,1750,1750,1,42,0.40,14,1160.262000
Sequential,1750,1750,1,42,0.40,15,1160.270000
Sequential,1750,1750,1,42,0.40,16,1161.221000
Sequential,1750,1750,1,42,0.40,17,1161.801000
Sequential,1750,1750,1,42,0.40,18,1161.446000
